date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:56	10822/10822	---M--	200	added ('OK')	text/html	etag:W/%222a46-16775438ae0%22	https://stripe-payments-demo.appspot.com/	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/index.html	(from )
21:14:56	149/149	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Dec%202018%2020:14:56%20GMT	https://stripe-payments-demo.appspot.com/robots.txt		(from )
21:14:57	10462/10462	---M--	200	added ('OK')	image/png	etag:W/%2228de-167ae30f191%22	https://stripe-payments-demo.appspot.com/images/twitter.png	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/images/twitter.png	(from https://stripe-payments-demo.appspot.com/)
21:14:57	14795/14795	---M--	200	added ('OK')	text/css	etag:W/%2239cb-16775438ae0%22	https://stripe-payments-demo.appspot.com/stylesheets/store.css	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/stylesheets/store.css	(from https://stripe-payments-demo.appspot.com/)
21:14:57	4041/4041	---M--	200	added ('OK')	image/png	etag:W/%22fc9-16775438ae0%22	https://stripe-payments-demo.appspot.com/images/logo.png	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/images/logo.png	(from https://stripe-payments-demo.appspot.com/)
21:14:57	19927/19927	---MCZ	200	added ('OK')	application/javascript	etag:W/%22993e88f396640f881b69f98db7a4d17401ef83ca%22	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Mes%20Sites%20Web/stripe/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	(from https://stripe-payments-demo.appspot.com/)
21:14:58	6043/6043	---M--	200	added ('OK')	application/javascript	etag:W/%22179b-16775438ae0%22	https://stripe-payments-demo.appspot.com/javascripts/store.js	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/javascripts/store.js	(from https://stripe-payments-demo.appspot.com/)
21:14:58	27898/27898	---M--	200	added ('OK')	application/javascript	etag:W/%226cfa-16775438ae0%22	https://stripe-payments-demo.appspot.com/javascripts/payments.js	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/javascripts/payments.js	(from https://stripe-payments-demo.appspot.com/)
21:14:59	1603/1603	---M--	200	added ('OK')	image/svg+xml	etag:W/%22643-16775438ae0%22	https://stripe-payments-demo.appspot.com/images/logo.svg	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/images/logo.svg	(from https://stripe-payments-demo.appspot.com/stylesheets/store.css)
21:14:59	1041/1041	---M--	200	added ('OK')	image/svg+xml	etag:W/%22411-16775438ae0%22	https://stripe-payments-demo.appspot.com/images/github.svg	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/images/github.svg	(from https://stripe-payments-demo.appspot.com/stylesheets/store.css)
21:14:59	671/671	---M--	200	added ('OK')	image/svg+xml	etag:W/%2229f-16775438ae0%22	https://stripe-payments-demo.appspot.com/images/tip.svg	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/images/tip.svg	(from https://stripe-payments-demo.appspot.com/stylesheets/store.css)
21:15:00	254/254	---M--	200	added ('OK')	image/svg+xml	etag:W/%22fe-16775438ae0%22	https://stripe-payments-demo.appspot.com/images/dropdown.svg	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/images/dropdown.svg	(from https://stripe-payments-demo.appspot.com/stylesheets/store.css)
21:15:00	49601/49601	---M--	200	added ('OK')	image/svg+xml	etag:W/%22c1c1-16775438ae0%22	https://stripe-payments-demo.appspot.com/images/flags.svg	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/images/flags.svg	(from https://stripe-payments-demo.appspot.com/stylesheets/store.css)
21:15:00	1054/1054	---M--	200	added ('OK')	image/svg+xml	etag:W/%2241e-16775438ae0%22	https://stripe-payments-demo.appspot.com/images/error.svg	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/images/error.svg	(from https://stripe-payments-demo.appspot.com/stylesheets/store.css)
21:15:01	6753/6753	---M--	200	added ('OK')	image/svg+xml	etag:W/%221a61-16775438ae0%22	https://stripe-payments-demo.appspot.com/images/order.svg	C:/Mes%20Sites%20Web/stripe/stripe-payments-demo.appspot.com/images/order.svg	(from https://stripe-payments-demo.appspot.com/stylesheets/store.css)
